Season,League,Team,Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%
2022-2023,LaLiga,Girona,Juan Carlos,ESP,GK,34.0,10.0,10.0,900.0,10.0,18.0,1.8,43.0,25.0,62.8,2.0,2.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
2022-2023,LaLiga,Rayo Vallecano,Stole Dimitrievski,MKD,GK,28.0,37.0,37.0,3324.0,36.9,49.0,1.33,139.0,94.0,67.6,13.0,10.0,14.0,9.0,24.3,5.0,4.0,0.0,1.0,0.0
2022-2023,LaLiga,Rayo Vallecano,Diego López,ESP,GK,40.0,2.0,1.0,96.0,1.1,4.0,3.75,5.0,1.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-2023,LaLiga,Sevilla,Yassine Bounou,MAR,GK,31.0,25.0,25.0,2151.0,23.9,41.0,1.72,106.0,66.0,63.2,7.0,6.0,12.0,4.0,16.0,3.0,2.0,1.0,0.0,33.3
2022-2023,LaLiga,Sevilla,Marko Dmitrović,SRB,GK,30.0,15.0,13.0,1269.0,14.1,13.0,0.92,55.0,43.0,76.4,6.0,4.0,3.0,5.0,38.5,0.0,0.0,0.0,0.0,
2022-2023,LaLiga,Celta Vigo,Agustín Marchesín,ARG,GK,34.0,19.0,19.0,1710.0,19.0,29.0,1.53,72.0,42.0,62.5,5.0,5.0,9.0,6.0,31.6,4.0,2.0,2.0,0.0,50.0
2022-2023,LaLiga,Celta Vigo,Iván Villar,ESP,GK,25.0,19.0,19.0,1710.0,19.0,24.0,1.26,62.0,38.0,66.1,6.0,5.0,8.0,4.0,21.1,4.0,3.0,0.0,1.0,0.0
2022-2023,LaLiga,Cádiz,Jeremías Ledesma,ARG,GK,29.0,34.0,34.0,3060.0,34.0,48.0,1.41,179.0,130.0,77.7,9.0,11.0,14.0,12.0,35.3,9.0,8.0,1.0,0.0,11.1
2022-2023,LaLiga,Cádiz,David Gil,ESP,GK,28.0,4.0,4.0,360.0,4.0,5.0,1.25,23.0,18.0,82.6,1.0,1.0,2.0,1.0,25.0,1.0,1.0,0.0,0.0,0.0
2022-2023,LaLiga,Getafe,David Soria,ESP,GK,29.0,38.0,38.0,3420.0,38.0,45.0,1.18,166.0,119.0,75.3,10.0,12.0,16.0,13.0,34.2,8.0,4.0,4.0,0.0,50.0
2022-2023,LaLiga,Valencia,Giorgi Mamardashvili,GEO,GK,21.0,38.0,38.0,3420.0,38.0,45.0,1.18,148.0,105.0,70.9,11.0,9.0,18.0,7.0,18.4,5.0,2.0,0.0,3.0,0.0
2022-2023,LaLiga,Almería,Fernando,ESP,GK,32.0,37.0,37.0,3285.0,36.5,61.0,1.67,193.0,132.0,70.5,11.0,8.0,18.0,4.0,10.8,6.0,4.0,1.0,1.0,20.0
2022-2023,LaLiga,Almería,Fernando Pacheco,ESP,GK,30.0,1.0,1.0,90.0,1.0,2.0,2.0,5.0,3.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-2023,LaLiga,Almería,Diego Mariño,ESP,GK,32.0,1.0,0.0,45.0,0.5,2.0,4.0,5.0,3.0,60.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2022-2023,LaLiga,Valladolid,Jordi Masip,ESP,GK,33.0,28.0,28.0,2507.0,27.9,42.0,1.51,145.0,101.0,74.5,9.0,5.0,14.0,8.0,28.6,9.0,5.0,3.0,1.0,37.5
2022-2023,LaLiga,Valladolid,Sergio Asenjo,ESP,GK,33.0,10.0,10.0,900.0,10.0,21.0,2.1,51.0,30.0,60.8,2.0,2.0,6.0,1.0,10.0,1.0,1.0,0.0,0.0,0.0
2022-2023,LaLiga,Valladolid,Álvaro Aceves,ESP,GK,19.0,1.0,0.0,13.0,0.1,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2022-2023,LaLiga,Espanyol,Fernando Pacheco,ESP,GK,30.0,16.0,16.0,1440.0,16.0,33.0,2.06,88.0,54.0,67.0,4.0,3.0,9.0,3.0,18.8,5.0,4.0,1.0,0.0,20.0
2022-2023,LaLiga,Espanyol,Álvaro Fernández,ESP,GK,24.0,11.0,11.0,990.0,11.0,18.0,1.64,50.0,33.0,64.0,3.0,4.0,4.0,2.0,18.2,0.0,0.0,0.0,0.0,
2022-2023,LaLiga,Espanyol,Benjamin Lecomte,FRA,GK,31.0,10.0,10.0,899.0,10.0,14.0,1.4,40.0,27.0,65.0,1.0,5.0,4.0,1.0,10.0,0.0,0.0,0.0,0.0,
2022-2023,LaLiga,Espanyol,Joan García,ESP,GK,21.0,1.0,1.0,90.0,1.0,3.0,3.0,4.0,1.0,50.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-2023,LaLiga,Elche,Édgar Badía,ESP,GK,30.0,36.0,36.0,3240.0,36.0,63.0,1.75,200.0,136.0,72.0,5.0,10.0,21.0,4.0,11.1,10.0,7.0,3.0,0.0,30.0
2022-2023,LaLiga,Elche,Axel Werner,ARG,GK,26.0,2.0,2.0,180.0,2.0,4.0,2.0,8.0,4.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-2023,Ligue1,Paris S-G,Gianluigi Donnarumma,ITA,GK,23.0,38.0,38.0,3409.0,37.9,40.0,1.06,160.0,120.0,76.3,27.0,4.0,7.0,13.0,34.2,5.0,2.0,1.0,2.0,33.3
2022-2023,Ligue1,Paris S-G,Alexandre Letellier,FRA,GK,31.0,1.0,0.0,11.0,0.1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2022-2023,Ligue1,Lens,Brice Samba,FRA,GK,28.0,37.0,37.0,3330.0,37.0,28.0,0.76,125.0,98.0,80.0,24.0,9.0,4.0,15.0,40.5,3.0,3.0,0.0,0.0,0.0
2022-2023,Ligue1,Lens,Jean-Louis Leca,FRA,GK,36.0,1.0,1.0,90.0,1.0,1.0,1.0,4.0,3.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-2023,Ligue1,Marseille,Pau López,ESP,GK,27.0,33.0,32.0,2925.0,32.5,34.0,1.05,123.0,90.0,76.4,21.0,4.0,7.0,10.0,31.3,5.0,5.0,0.0,0.0,0.0
2022-2023,Ligue1,Marseille,Rubén Blanco,ESP,GK,27.0,6.0,6.0,495.0,5.5,6.0,1.09,19.0,15.0,68.4,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-2023,Ligue1,Rennes,Steve Mandanda,FRA,GK,37.0,34.0,34.0,3014.0,33.5,31.0,0.93,110.0,79.0,73.6,19.0,5.0,10.0,12.0,35.3,3.0,2.0,1.0,0.0,33.3
2022-2023,Ligue1,Rennes,Doğan Alemdar,TUR,GK,19.0,6.0,4.0,406.0,4.5,8.0,1.77,16.0,7.0,56.3,2.0,0.0,2.0,1.0,25.0,2.0,1.0,1.0,0.0,50.0
2022-2023,Ligue1,Lille,Lucas Chevalier,FRA,GK,20.0,32.0,32.0,2880.0,32.0,31.0,0.97,105.0,76.0,72.4,16.0,9.0,7.0,10.0,31.3,3.0,2.0,1.0,0.0,33.3
2022-2023,Ligue1,Lille,Léo Jardim,BRA,GK,27.0,6.0,6.0,540.0,6.0,13.0,2.17,17.0,4.0,35.3,3.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
2022-2023,Ligue1,Monaco,Alexander Nübel,GER,GK,25.0,38.0,38.0,3420.0,38.0,58.0,1.53,195.0,140.0,72.8,19.0,8.0,11.0,9.0,23.7,5.0,5.0,0.0,0.0,0.0
2022-2023,Ligue1,Lyon,Anthony Lopes,POR,GK,31.0,32.0,32.0,2816.0,31.3,39.0,1.25,131.0,94.0,75.6,16.0,4.0,12.0,7.0,21.9,7.0,7.0,0.0,0.0,0.0
2022-2023,Ligue1,Lyon,Rémy Riou,FRA,GK,34.0,7.0,6.0,601.0,6.7,8.0,1.2,24.0,17.0,83.3,2.0,4.0,0.0,1.0,16.7,4.0,4.0,0.0,0.0,0.0
2022-2023,Ligue1,Clermont Foot,Mory Diaw,SEN,GK,29.0,37.0,37.0,3330.0,37.0,47.0,1.27,161.0,110.0,75.8,17.0,8.0,12.0,10.0,27.0,12.0,8.0,4.0,0.0,33.3
2022-2023,Ligue1,Clermont Foot,Ouparine Djoco,GNB,GK,24.0,1.0,1.0,90.0,1.0,2.0,2.0,3.0,1.0,33.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-2023,Ligue1,Nice,Kasper Schmeichel,DEN,GK,35.0,36.0,36.0,3240.0,36.0,35.0,0.97,141.0,105.0,77.3,15.0,12.0,9.0,11.0,30.6,5.0,3.0,1.0,1.0,25.0
2022-2023,Ligue1,Nice,Marcin Bułka,POL,GK,22.0,2.0,2.0,180.0,2.0,2.0,1.0,6.0,4.0,66.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-2023,Ligue1,Lorient,Yvon Mvogo,SUI,GK,28.0,21.0,21.0,1812.0,20.1,29.0,1.44,98.0,70.0,71.4,11.0,4.0,6.0,3.0,14.3,1.0,1.0,0.0,0.0,0.0
2022-2023,Ligue1,Lorient,Vito Mannone,ITA,GK,34.0,18.0,17.0,1608.0,17.9,24.0,1.34,84.0,60.0,72.6,4.0,6.0,7.0,5.0,29.4,1.0,1.0,0.0,0.0,0.0
2022-2023,Ligue1,Reims,Yehvann Diouf,FRA,GK,22.0,31.0,31.0,2790.0,31.0,31.0,1.0,137.0,107.0,78.1,11.0,12.0,8.0,14.0,45.2,1.0,1.0,0.0,0.0,0.0
2022-2023,Ligue1,Reims,Patrick Pentz,AUT,GK,25.0,7.0,7.0,630.0,7.0,14.0,2.0,29.0,16.0,58.6,1.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
2022-2023,Ligue1,Montpellier,Benjamin Lecomte,FRA,GK,31.0,19.0,19.0,1710.0,19.0,22.0,1.16,96.0,72.0,79.2,10.0,3.0,6.0,8.0,42.1,4.0,2.0,2.0,0.0,50.0
2022-2023,Ligue1,Montpellier,Jonas Omlin,SUI,GK,28.0,14.0,14.0,1166.0,13.0,26.0,2.01,73.0,48.0,68.5,5.0,1.0,8.0,2.0,14.3,4.0,3.0,1.0,0.0,25.0
2022-2023,Ligue1,Montpellier,Bingourou Kamara,SEN,GK,25.0,5.0,4.0,408.0,4.5,11.0,2.43,25.0,13.0,60.0,0.0,1.0,3.0,0.0,0.0,3.0,1.0,1.0,1.0,50.0
2022-2023,Ligue1,Montpellier,Matis Carvalho,POR,GK,23.0,2.0,1.0,136.0,1.5,3.0,1.99,8.0,5.0,62.5,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,
2022-2023,Ligue1,Toulouse,Maxime Dupé,FRA,GK,29.0,38.0,38.0,3420.0,38.0,57.0,1.5,179.0,122.0,70.4,13.0,9.0,16.0,9.0,23.7,7.0,4.0,3.0,0.0,42.9
2022-2023,Ligue1,Brest,Marco Bizot,NED,GK,31.0,37.0,37.0,3330.0,37.0,54.0,1.46,176.0,122.0,73.3,11.0,10.0,16.0,8.0,21.6,9.0,7.0,2.0,0.0,22.2
2022-2023,Ligue1,Brest,Joaquín Blázquez,ARG,GK,21.0,1.0,1.0,90.0,1.0,0.0,0.0,3.0,3.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
2022-2023,Ligue1,Strasbourg,Matz Sels,BEL,GK,30.0,38.0,38.0,3420.0,38.0,59.0,1.55,174.0,115.0,71.8,9.0,13.0,16.0,6.0,15.8,11.0,10.0,0.0,1.0,0.0
2022-2023,Ligue1,Nantes,Alban Lafont,FRA,GK,23.0,37.0,37.0,3329.0,37.0,54.0,1.46,179.0,129.0,74.9,7.0,14.0,16.0,11.0,29.7,9.0,9.0,0.0,0.0,0.0
2022-2023,Ligue1,Nantes,Rémy Descamps,FRA,GK,26.0,1.0,1.0,90.0,1.0,1.0,1.0,6.0,5.0,83.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-2023,Ligue1,Auxerre,Benoît Costil,FRA,GK,35.0,19.0,19.0,1710.0,19.0,41.0,2.16,96.0,55.0,60.4,3.0,4.0,12.0,2.0,10.5,3.0,3.0,0.0,0.0,0.0
2022-2023,Ligue1,Auxerre,Ionuț Radu,ROU,GK,25.0,17.0,17.0,1530.0,17.0,20.0,1.18,74.0,53.0,73.0,4.0,6.0,7.0,5.0,29.4,2.0,0.0,2.0,0.0,100.0
2022-2023,Ligue1,Auxerre,Donovan Léon,GUF,GK,29.0,2.0,2.0,180.0,2.0,2.0,1.0,11.0,9.0,90.9,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-2023,Ligue1,Ajaccio,Benjamin Leroy,FRA,GK,33.0,32.0,32.0,2798.0,31.1,60.0,1.93,133.0,74.0,60.9,6.0,4.0,22.0,4.0,12.5,9.0,8.0,0.0,1.0,0.0
2022-2023,Ligue1,Ajaccio,François-Joseph Sollacaro,FRA,GK,28.0,6.0,6.0,540.0,6.0,14.0,2.33,24.0,11.0,45.8,1.0,1.0,4.0,1.0,16.7,1.0,1.0,0.0,0.0,0.0
2022-2023,Ligue1,Ajaccio,Ghjuvanni Quilichini,FRA,GK,19.0,1.0,0.0,82.0,0.9,0.0,0.0,4.0,4.0,100.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,
2022-2023,Ligue1,Troyes,Gauthier Gallon,FRA,GK,29.0,30.0,30.0,2667.0,29.6,65.0,2.19,177.0,114.0,66.1,3.0,9.0,18.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
2022-2023,Ligue1,Troyes,Mateusz Lis,POL,GK,25.0,9.0,8.0,751.0,8.3,16.0,1.92,51.0,34.0,72.5,1.0,3.0,4.0,1.0,12.5,3.0,2.0,1.0,0.0,33.3
2022-2023,Ligue1,Angers,Paul Bernardoni,FRA,GK,25.0,27.0,27.0,2430.0,27.0,62.0,2.3,143.0,84.0,62.2,1.0,5.0,21.0,3.0,11.1,9.0,8.0,0.0,1.0,0.0
2022-2023,Ligue1,Angers,Yahia Fofana,CIV,GK,21.0,11.0,11.0,990.0,11.0,19.0,1.73,54.0,35.0,66.7,3.0,1.0,7.0,1.0,9.1,2.0,1.0,1.0,0.0,50.0
2022-2023,SeriaA,Napoli,Alex Meret,ITA,GK,25.0,34.0,34.0,3060.0,34.0,24.0,0.71,91.0,66.0,74.7,26.0,5.0,3.0,16.0,47.1,2.0,1.0,1.0,0.0,50.0
2022-2023,SeriaA,Napoli,Pierluigi Gollini,ITA,GK,27.0,4.0,4.0,360.0,4.0,4.0,1.0,16.0,12.0,75.0,2.0,1.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,
2022-2023,SeriaA,Lazio,Ivan Provedel,ITA,GK,28.0,38.0,37.0,3413.0,37.9,30.0,0.79,128.0,99.0,77.3,21.0,8.0,8.0,21.0,56.8,2.0,1.0,0.0,1.0,0.0
2022-2023,SeriaA,Lazio,Luís Maximiano,POR,GK,23.0,1.0,1.0,5.0,0.1,,,,,,1.0,,,,,,,,,
2022-2023,SeriaA,Inter,André Onana,CMR,GK,26.0,24.0,24.0,2160.0,24.0,24.0,1.0,83.0,61.0,73.5,14.0,3.0,7.0,8.0,33.3,2.0,2.0,0.0,0.0,0.0
2022-2023,SeriaA,Inter,Samir Handanović,SVN,GK,38.0,14.0,14.0,1234.0,13.7,18.0,1.31,52.0,35.0,67.3,9.0,0.0,5.0,4.0,28.6,1.0,1.0,0.0,0.0,0.0
2022-2023,SeriaA,Inter,Alex Cordaz,ITA,GK,39.0,1.0,0.0,26.0,0.3,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,
2022-2023,SeriaA,Milan,Mike Maignan,FRA,GK,27.0,22.0,22.0,1978.0,22.0,21.0,0.96,62.0,40.0,69.4,11.0,7.0,4.0,8.0,36.4,3.0,2.0,1.0,0.0,33.3
2022-2023,SeriaA,Milan,Ciprian Tătărușanu,ROU,GK,36.0,16.0,16.0,1440.0,16.0,22.0,1.37,61.0,40.0,67.2,9.0,3.0,4.0,4.0,25.0,2.0,2.0,0.0,0.0,0.0
2022-2023,SeriaA,Milan,Antonio Mirante,ITA,GK,39.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2022-2023,SeriaA,Atalanta,Juan Musso,ARG,GK,28.0,24.0,24.0,2077.0,23.1,27.0,1.17,89.0,64.0,71.9,13.0,4.0,7.0,7.0,29.2,2.0,2.0,0.0,0.0,0.0
2022-2023,SeriaA,Atalanta,Marco Sportiello,ITA,GK,30.0,15.0,14.0,1339.0,14.9,21.0,1.41,64.0,43.0,68.8,6.0,3.0,5.0,2.0,14.3,1.0,1.0,0.0,0.0,0.0
2022-2023,SeriaA,Atalanta,Francesco Rossi,ITA,GK,31.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2022-2023,SeriaA,Roma,Rui Patrício,POR,GK,34.0,35.0,35.0,3150.0,35.0,35.0,1.0,108.0,73.0,69.4,17.0,8.0,10.0,13.0,37.1,3.0,2.0,1.0,0.0,33.3
2022-2023,SeriaA,Roma,Mile Svilar,SRB,GK,22.0,3.0,3.0,270.0,3.0,3.0,1.0,10.0,7.0,70.0,1.0,1.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,
2022-2023,SeriaA,Juventus,Wojciech Szczęsny,POL,GK,32.0,28.0,28.0,2472.0,27.5,26.0,0.95,93.0,67.0,75.3,17.0,3.0,8.0,14.0,50.0,3.0,3.0,0.0,0.0,0.0
2022-2023,SeriaA,Juventus,Mattia Perin,ITA,GK,29.0,11.0,10.0,948.0,10.5,7.0,0.66,40.0,32.0,85.0,5.0,3.0,2.0,6.0,60.0,2.0,1.0,1.0,0.0,50.0
2022-2023,SeriaA,Fiorentina,Pietro Terracciano,ITA,GK,32.0,29.0,29.0,2610.0,29.0,38.0,1.31,96.0,59.0,66.7,9.0,8.0,12.0,5.0,17.2,7.0,6.0,1.0,0.0,14.3
2022-2023,SeriaA,Fiorentina,Michele Cerofolini,ITA,GK,23.0,5.0,5.0,450.0,5.0,3.0,0.6,11.0,8.0,81.8,4.0,1.0,0.0,2.0,40.0,1.0,1.0,0.0,0.0,0.0
2022-2023,SeriaA,Fiorentina,Pierluigi Gollini,ITA,GK,27.0,3.0,3.0,270.0,3.0,2.0,0.67,8.0,6.0,75.0,1.0,2.0,0.0,2.0,66.7,0.0,0.0,0.0,0.0,
2022-2023,SeriaA,Fiorentina,Salvatore Sirigu,ITA,GK,35.0,1.0,1.0,90.0,1.0,0.0,0.0,5.0,5.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
2022-2023,SeriaA,Bologna,Łukasz Skorupski,POL,GK,31.0,37.0,37.0,3330.0,37.0,49.0,1.32,161.0,113.0,73.9,13.0,12.0,12.0,7.0,18.9,9.0,7.0,2.0,0.0,22.2
2022-2023,SeriaA,Bologna,Francesco Bardi,ITA,GK,30.0,1.0,1.0,90.0,1.0,0.0,0.0,4.0,4.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
2022-2023,SeriaA,Torino,Vanja Milinković-Savić,SRB,GK,25.0,38.0,38.0,3420.0,38.0,41.0,1.08,136.0,95.0,73.5,14.0,11.0,13.0,11.0,28.9,6.0,5.0,0.0,1.0,0.0
2022-2023,SeriaA,Monza,Michele Di Gregorio,ITA,GK,25.0,37.0,37.0,3330.0,37.0,49.0,1.32,167.0,119.0,72.5,14.0,10.0,13.0,10.0,27.0,3.0,3.0,0.0,0.0,0.0
2022-2023,SeriaA,Monza,Alessio Cragno,ITA,GK,28.0,1.0,1.0,90.0,1.0,3.0,3.0,5.0,2.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-2023,SeriaA,Udinese,Marco Silvestri,ITA,GK,31.0,38.0,38.0,3420.0,38.0,48.0,1.26,137.0,91.0,69.3,11.0,13.0,14.0,10.0,26.3,7.0,6.0,0.0,1.0,0.0
2022-2023,SeriaA,Sassuolo,Andrea Consigli,ITA,GK,35.0,35.0,35.0,3150.0,35.0,55.0,1.57,117.0,64.0,55.6,12.0,8.0,15.0,9.0,25.7,3.0,3.0,0.0,0.0,0.0
2022-2023,SeriaA,Sassuolo,Gianluca Pegolo,ITA,GK,41.0,2.0,2.0,180.0,2.0,3.0,1.5,6.0,3.0,66.7,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-2023,SeriaA,Sassuolo,Alessandro Russo,ITA,GK,21.0,1.0,1.0,90.0,1.0,3.0,3.0,7.0,4.0,57.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-2023,SeriaA,Empoli,Guglielmo Vicario,ITA,GK,25.0,31.0,31.0,2783.0,30.9,39.0,1.26,134.0,95.0,73.9,9.0,12.0,10.0,7.0,22.6,6.0,4.0,1.0,1.0,20.0
2022-2023,SeriaA,Empoli,Samuele Perisan,ITA,GK,24.0,7.0,7.0,630.0,7.0,9.0,1.29,24.0,15.0,62.5,1.0,1.0,5.0,2.0,28.6,0.0,0.0,0.0,0.0,
2022-2023,SeriaA,Empoli,Samir Ujkani,KVX,GK,34.0,1.0,0.0,7.0,0.1,1.0,12.86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2022-2023,SeriaA,Salernitana,Guillermo Ochoa,MEX,GK,37.0,20.0,20.0,1800.0,20.0,33.0,1.65,105.0,71.0,71.4,4.0,10.0,6.0,4.0,20.0,4.0,3.0,1.0,0.0,25.0
2022-2023,SeriaA,Salernitana,Luigi Sepe,ITA,GK,31.0,17.0,17.0,1530.0,17.0,27.0,1.59,87.0,57.0,73.6,4.0,5.0,8.0,3.0,17.6,7.0,4.0,3.0,0.0,42.9
2022-2023,SeriaA,Salernitana,Vincenzo Fiorillo,ITA,GK,32.0,1.0,1.0,90.0,1.0,2.0,2.0,4.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-2023,SeriaA,Lecce,Wladimiro Falcone,ITA,GK,27.0,38.0,38.0,3420.0,38.0,46.0,1.21,156.0,112.0,73.7,8.0,12.0,18.0,6.0,15.8,6.0,5.0,1.0,0.0,16.7
