player,ball_recovery_total,ball_recovery_successful,ball_recovery_offensive_total,ball_recovery_offensive_successful,ball_recovery_failed,pressure_on_opponent,pressure_on_opponent_defending_third,pressure_on_opponent_middle_third,pressure_on_opponent_attacking_third,counterpressing_total,counterpressing_opponent_defending_third,counterpressing_opponent_middle_third,counterpressing_attacking_third,shield_total,block_total,block_offensive,block_ball_deflection,block_counterpress,block_during_counterpress,block_shot_on_target,clearance_total,clearance_with_head,interception,tackling,tackling_won,tackling_in_defending_third,tackling_in_middle_third,tackling_in_attacking_third,fouls_total,fouls_in_defending_third,fouls_in_middle_third,fouls_in_attacking_third,fouls_offensive,fouls_lead_to_penalty,fouls_wins_a_penalty,fouls_yellow_card,fouls_second_yellow_card,fouls_red_card,bad_behaviour_total,bad_behaviour_yellow_card,bad_behaviour_second_yellow_card,bad_behaviour_red_card,total_yellow,total_red,ball_recovery_successful_%,pressure_on_opponent_defending_third_%,pressure_on_opponent_middle_third_%,pressure_on_opponent_attacking_third_%,counterpressing_opponent_defending_third_%,counterpressing_opponent_middle_third_%,counterpressing_opponent_attacking_third_%,tackling_success_%,tackling_in_defending_third_%,tackling_in_middle_third_%,tackling_in_attacking_third_%,fouls_in_defending_third_%,fouls_in_middle_third_%,fouls_in_attacking_third_%,ball_recovery_total_per_match,ball_recovery_successful_per_match,ball_recovery_offensive_total_per_match,ball_recovery_offensive_successful_per_match,ball_recovery_failed_per_match,pressure_on_opponent_per_match,pressure_on_opponent_defending_third_per_match,pressure_on_opponent_middle_third_per_match,pressure_on_opponent_attacking_third_per_match,counterpressing_total_per_match,counterpressing_opponent_defending_third_per_match,counterpressing_opponent_middle_third_per_match,counterpressing_attacking_third_per_match,shield_total_per_match,block_total_per_match,block_offensive_per_match,block_ball_deflection_per_match,block_counterpress_per_match,block_during_counterpress_per_match,block_shot_on_target_per_match,clearance_total_per_match,clearance_with_head_per_match,interception_per_match,tackling_per_match,tackling_won_per_match,tackling_in_defending_third_per_match,tackling_in_middle_third_per_match,tackling_in_attacking_third_per_match,fouls_total_per_match,fouls_in_defending_third_per_match,fouls_in_middle_third_per_match,fouls_in_attacking_third_per_match,fouls_offensive_per_match,fouls_lead_to_penalty_per_match,fouls_wins_a_penalty_per_match,fouls_yellow_card_per_match,fouls_second_yellow_card_per_match,fouls_red_card_per_match,bad_behaviour_total_per_match,bad_behaviour_yellow_card_per_match,bad_behaviour_second_yellow_card_per_match,bad_behaviour_red_card_per_match,total_yellow_per_match,total_red_per_match
Antoine Griezmann,8.0,7.0,0,0,1,14.0,2.0,8.0,4.0,4.0,2.0,0.0,2.0,0.0,2.0,0,0,0,2.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.089,0.078,0.0,0.0,0.011,0.156,0.022,0.089,0.044,0.044,0.022,0.0,0.022,0.0,0.022,0.0,0.0,0.0,0.022,0.0,0.011,0.0,0.0,0.011,0.0,0.0,0.0,0.011,0.011,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augusto Matías Fernández,5.0,5.0,0,0,0,5.0,2.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.6,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.056,0.056,0.0,0.0,0.0,0.056,0.022,0.033,0.0,0.033,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.022,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Henrique Casimiro,11.0,10.0,0,0,1,22.0,13.0,7.0,2.0,11.0,3.0,6.0,2.0,0.0,5.0,0,0,0,5.0,0,4.0,0.0,1.0,8.0,6.0,3.0,5.0,0.0,4.0,0.0,3.0,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9090909090909091,0.5909090909090909,0.3181818181818182,0.09090909090909091,0.2727272727272727,0.5454545454545454,0.18181818181818182,0.75,0.375,0.625,0.0,0.0,0.75,0.25,0.122,0.111,0.0,0.0,0.011,0.244,0.144,0.078,0.022,0.122,0.033,0.067,0.022,0.0,0.056,0.0,0.0,0.0,0.056,0.0,0.044,0.0,0.011,0.089,0.067,0.033,0.056,0.0,0.044,0.0,0.033,0.011,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0
Cristiano Ronaldo dos Santos Aveiro,8.0,6.0,1,1,2,10.0,6.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.6,0.3,0.1,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.089,0.067,0.011,0.011,0.022,0.111,0.067,0.033,0.011,0.022,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Carvajal Ramos,1.0,1.0,0,0,0,7.0,5.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.7142857142857143,0.0,0.2857142857142857,0.6666666666666666,0.0,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.011,0.011,0.0,0.0,0.0,0.078,0.056,0.0,0.022,0.033,0.022,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.011,0.011,0.011,0.0,0.0,0.011,0.0,0.011,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0
Danilo Luiz da Silva,6.0,6.0,0,0,0,6.0,6.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,3.0,0,0,0,3.0,0,5.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.067,0.067,0.0,0.0,0.0,0.067,0.067,0.0,0.0,0.044,0.022,0.022,0.0,0.0,0.033,0.0,0.0,0.0,0.033,0.0,0.056,0.0,0.022,0.011,0.0,0.011,0.0,0.0,0.022,0.0,0.022,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0
Diego Roberto Godín Leal,6.0,6.0,0,0,0,10.0,8.0,1.0,1.0,6.0,3.0,1.0,2.0,0.0,3.0,0,0,0,3.0,0,5.0,0.0,1.0,3.0,2.0,2.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.1,0.1,0.5,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666,0.067,0.067,0.0,0.0,0.0,0.111,0.089,0.011,0.011,0.067,0.033,0.011,0.022,0.0,0.033,0.0,0.0,0.0,0.033,0.0,0.056,0.0,0.011,0.033,0.022,0.022,0.011,0.0,0.033,0.011,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fernando José Torres Sanz,2.0,0.0,0,0,2,14.0,1.0,8.0,5.0,2.0,0.0,1.0,1.0,0.0,3.0,0,0,0,3.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07142857142857142,0.5714285714285714,0.35714285714285715,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.022,0.0,0.0,0.0,0.022,0.156,0.011,0.089,0.056,0.022,0.0,0.011,0.011,0.0,0.033,0.0,0.0,0.0,0.033,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.011,0.033,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0
Filipe Luís Kasmirski,3.0,3.0,0,0,0,11.0,5.0,5.0,1.0,7.0,2.0,3.0,2.0,0.0,3.0,0,1,1,3.0,0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45454545454545453,0.45454545454545453,0.09090909090909091,0.2857142857142857,0.42857142857142855,0.2857142857142857,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.033,0.033,0.0,0.0,0.0,0.122,0.056,0.056,0.011,0.078,0.022,0.033,0.022,0.0,0.033,0.0,0.011,0.011,0.033,0.0,0.022,0.0,0.0,0.022,0.022,0.0,0.022,0.0,0.011,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Francisco Casilla Cortés,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Francisco Román Alarcón Suárez,2.0,2.0,0,0,0,15.0,2.0,10.0,3.0,4.0,0.0,3.0,1.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13333333333333333,0.6666666666666666,0.2,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.022,0.022,0.0,0.0,0.0,0.167,0.022,0.111,0.033,0.044,0.0,0.033,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel Fernández Arenas,11.0,10.0,0,0,1,12.0,7.0,4.0,1.0,11.0,7.0,3.0,1.0,0.0,3.0,0,0,0,3.0,0,2.0,0.0,1.0,5.0,5.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.9090909090909091,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.6363636363636364,0.2727272727272727,0.09090909090909091,1.0,0.8,0.2,0.0,1.0,0.0,0.0,0.122,0.111,0.0,0.0,0.011,0.133,0.078,0.044,0.011,0.122,0.078,0.033,0.011,0.0,0.033,0.0,0.0,0.0,0.033,0.0,0.022,0.0,0.011,0.056,0.056,0.044,0.011,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.011,0.0
Gareth Frank Bale,1.0,1.0,0,0,0,12.0,4.0,5.0,3.0,4.0,1.0,2.0,1.0,0.0,2.0,0,1,1,2.0,0,2.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,4.0,0.0,1.0,3.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.4166666666666667,0.25,0.25,0.5,0.25,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,0.25,0.75,0.011,0.011,0.0,0.0,0.0,0.133,0.044,0.056,0.033,0.044,0.011,0.022,0.011,0.0,0.022,0.0,0.011,0.011,0.022,0.0,0.022,0.0,0.0,0.033,0.022,0.011,0.022,0.0,0.044,0.0,0.011,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James David Rodríguez Rubio,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
